Stock Name,Sector,Percentage Invested,Money Invested,Count,Nifty Weightage,Market Cap
Laurus Labs Ltd.,Healthcare,3.69,118.7889,9,,
Amber Enterprises India Pvt Ltd.,Consumer Discretionary,6.1,282.8321,9,,
Affle (India) Ltd.,Technology,6.3,334.15819999999997,9,,
Coromandel International Ltd.,Chemicals,4.02,100.5909,9,,
Ajanta Pharma Ltd.,Healthcare,4.52,355.09479999999996,9,,
Alkem Laboratories Ltd.,Healthcare,5.8,209.16540000000003,9,,
Macrotech Developers Ltd.,Construction,4.96,23.5431,9,,
Mahindra Lifespace Developers Ltd.,Construction,4.1899999999999995,179.33919999999998,9,,
Central Depository Services (India) Ltd.,Financial,2.89,339.159,9,,
Praj Industries Ltd.,Capital Goods,1.2,127.4136,4,,
Radico Khaitan Ltd.,Consumer Staples,3.3899999999999997,313.23740000000004,4,,
Indraprastha Gas Ltd.,Energy,3.17,89.6336,4,,
Power Grid Corpn. Of India Ltd.,Energy,9.07,93.11840000000001,4,0.97,"1,66,190"
Power Finance Corpn. Ltd.,Financial,1.65,304.0686,4,,
Navin Fluorine International Ltd.,Chemicals,2.73,434.2821,4,,
Prataap Snacks Ltd.,Consumer Staples,1.3199999999999998,80.98559999999999,4,,
Polycab India Ltd.,Capital Goods,2.6900000000000004,61.9791,4,,
One97 Communications Ltd.,Services,0.48,80.93279999999999,4,,
Ratnamani Metals & Tubes Ltd.,Metals & Mining,5.960000000000001,246.08800000000005,4,,
Kei Industries Ltd.,Capital Goods,4.6000000000000005,47.867000000000004,4,,
NHPC Ltd.,Energy,5.41,126.71879999999999,4,,
Lupin Ltd.,Healthcare,3.9299999999999997,92.45769999999999,4,,
Sapphire Foods India Ltd.,Services,1.36,42.315200000000004,4,,
Kalpataru Power Transmission Ltd.,Capital Goods,1.5,126.156,4,,
Kirloskar Pneumatic Co. Ltd.,Capital Goods,1.07,170.0731,4,,
Sansera Engineering Ltd.,Automobile,1.42,102.81700000000001,4,,
Sanofi India Ltd.,Healthcare,3.6799999999999997,220.53,4,,
L&T Technology Services Ltd.,Technology,3.29,120.1651,4,,
Sandhar Technologies Ltd.,Automobile,0.8799999999999999,99.6108,4,,
LatentView Analytics Ltd.,Technology,2.36,32.5055,4,,
ABB Ltd.,Capital Goods,3.9299999999999997,200.6831,4,,
KNR Constructions Ltd.,Construction,6.38,67.9256,4,,
Sterlite Technologies Ltd.,Communication,2.4299999999999997,241.4682,4,,
Lux Industries Ltd.,Textiles,2.09,220.7048,4,,
Intellect Design Arena Ltd.,Technology,1.83,169.3302,4,,
Mahindra & Mahindra Financial Services Ltd.,Financial,2.76,98.23859999999999,4,,
Mahindra Logistics Ltd.,Services,1.4100000000000001,68.0286,4,,
Shriram City Union Finance Ltd.,Financial,1.3599999999999999,63.6764,4,,
Shriram Transport Finance Co. Ltd.,Financial,2.3200000000000003,339.4622,4,,
JMC Projects (India) Ltd.,Construction,1.18,66.92009999999999,4,,
Max Healthcare Institute Ltd.,Healthcare,2.1399999999999997,92.33099999999999,4,,
Simran Wind Project Ltd.,Capital Goods,1.2100000000000002,99.5336,4,,
Restaurant Brands Asia Ltd.,Services,0.74,16.418599999999998,4,,
Ipca Laboratories Ltd.,Healthcare,6.66,408.6567,4,,
Solar Industries India Ltd.,Chemicals,3.13,194.826,4,,
Interglobe Aviation Ltd.,Services,2.43,149.00209999999998,4,,
Great Eastern Shipping Company Ltd.,Services,2.42,90.9688,4,,
Pidilite Industries Ltd.,Chemicals,2.5300000000000002,221.37040000000002,4,,
Stove Kraft Ltd.,Consumer Discretionary,1.6400000000000001,137.4548,4,,
DLF Ltd.,Construction,3.09,9.527700000000001,4,,
Aptus Value Housing Finance India Ltd.,Financial,2.37,62.441,4,,
City Union Bank Ltd.,Financial,3.1799999999999997,83.1191,4,,
Torrent Power Ltd.,Energy,4.58,303.7687,4,,
Colgate-Palmolive (India) Ltd.,Consumer Staples,2.5,67.9875,4,,
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.24,326.41960000000006,4,,
Vijaya Diagnostic Centre Ltd.,Healthcare,1.6600000000000001,67.52250000000001,4,,
Cyient Limited,Technology,3.89,426.4142,4,,
The Ramco Cements Ltd.,Materials,0.94,56.53359999999999,4,,
Tata Elxsi Ltd.,Technology,4.98,331.20900000000006,4,,
Deepak Nitrite Ltd.,Chemicals,3.2600000000000002,486.35540000000003,4,,
TeamLease Services Ltd.,Services,2.63,78.6622,4,,
Tatva Chintan Pharma Chem Ltd.,Chemicals,1.86,35.5359,4,,
Emami Ltd.,Consumer Staples,1.88,386.96659999999997,4,,
Tata Motors DVR,Automobile,2.2800000000000002,65.1057,4,,
Endurance Technologies Ltd.,Automobile,2.2399999999999998,110.1445,4,,
Anand Rathi Wealth Ltd.,Financial,0.6900000000000001,18.619600000000002,4,,
